pagename,post_id,comment_id,answer_1,answer_2,answer_3,answer_4,answer_5,answer_6
nytimes,5281959998_10151316451979999,10151316451979999_10151316594204999,1.0,0.0,0,0.0,3.0,0.0
nytimes,5281959998_10151316451979999,10151316451979999_10151316817934999,1.0,0.0,0,0.0,2.0,0.0
nytimes,5281959998_132791174027617,132791174027617_132823307357737,0.0,0.0,0,0.0,3.0,0.0
nytimes,5281959998_132791174027617,132791174027617_132827037357364,0.0,0.0,0,0.0,3.0,0.0
nytimes,5281959998_132791174027617,132791174027617_132976894009045,0.0,0.0,0,0.0,3.0,0.0
nytimes,5281959998_132791174027617,132791174027617_133010260672375,0.0,0.0,0,0.0,1.0,2.0
nytimes,5281959998_132791174027617,132791174027617_912643582225577,0.0,0.0,0,0.0,2.0,3.0
nytimes,5281959998_184073478804176,184073478804176_120207132021017,0.0,0.0,0,0.0,3.0,0.0
nytimes,5281959998_184073478804176,184073478804176_121324218576439,0.0,0.0,0,0.0,2.0,1.0
nytimes,5281959998_184073478804176,184073478804176_126596591267861,0.0,0.0,0,0.0,3.0,0.0
nytimes,5281959998_184073478804176,184073478804176_134611573847181,0.0,0.0,0,0.0,3.0,0.0
nytimes,5281959998_184073478804176,184073478804176_1391142544316797,0.0,0.0,0,0.0,3.0,0.0
nytimes,5281959998_184073478804176,184073478804176_1391369404294111,0.0,0.0,0,0.0,3.0,0.0
nytimes,5281959998_184073478804176,184073478804176_1494028324024445,0.0,0.0,0,0.0,3.0,0.0
nytimes,5281959998_184073478804176,184073478804176_1494030634024214,0.0,0.0,0,0.0,3.0,0.0
nytimes,5281959998_184073478804176,184073478804176_1494182960675648,0.0,0.0,0,0.0,3.0,0.0
nytimes,5281959998_184073478804176,184073478804176_1494303363996941,0.0,0.0,0,0.0,3.0,0.0
nytimes,5281959998_184073478804176,184073478804176_1502409909841646,0.0,0.0,0,0.0,3.0,0.0
nytimes,5281959998_184073478804176,184073478804176_1562739027102237,0.0,0.0,0,1.0,2.0,0.0
nytimes,5281959998_184073478804176,184073478804176_1580941691948664,0.0,0.0,0,0.0,3.0,0.0
nytimes,5281959998_184073478804176,184073478804176_184133558798168,0.0,0.0,0,0.0,3.0,0.0
nytimes,5281959998_184073478804176,184073478804176_184135838797940,0.0,0.0,0,0.0,2.0,1.0
nytimes,5281959998_184073478804176,184073478804176_188407755036293,0.0,0.0,0,0.0,3.0,0.0
nytimes,5281959998_184073478804176,184073478804176_1915634142030212,0.0,0.0,0,0.0,1.0,2.0
nytimes,5281959998_184073478804176,184073478804176_281777252339655,0.0,0.0,0,0.0,3.0,0.0
nytimes,5281959998_184073478804176,184073478804176_547219158952126,0.0,0.0,0,0.0,3.0,0.0
nytimes,5281959998_184073478804176,184073478804176_845288422315623,0.0,0.0,0,0.0,3.0,0.0
nytimes,5281959998_1917761835107996,1917761835107996_1917969951753851,0.0,0.0,0,0.0,3.0,0.0
nytimes,5281959998_1917763905107789,1917763905107789_1918066091744237,0.0,0.0,0,0.0,3.0,0.0
nytimes,5281959998_1918141541736692,1918141541736692_1918315585052621,3.0,0.0,0,0.0,0.0,0.0
nytimes,5281959998_1918214765062703,1918214765062703_1918222595061920,0.0,0.0,0,0.0,3.0,0.0
nytimes,5281959998_1918214765062703,1918214765062703_1918226395061540,0.0,0.0,0,0.0,3.0,0.0
nytimes,5281959998_1918268465057333,1918268465057333_1918297238387789,0.0,0.0,0,0.0,0.0,3.0
nytimes,5281959998_1918601078357405,1918601078357405_177403256162355,0.0,0.0,0,0.0,3.0,0.0
nytimes,5281959998_1918601078357405,1918601078357405_1918658465018333,0.0,0.0,0,0.0,3.0,0.0
nytimes,5281959998_1918601078357405,1918601078357405_1918665941684252,0.0,0.0,0,0.0,3.0,0.0
nytimes,5281959998_1918601078357405,1918601078357405_1918722045011975,0.0,0.0,0,0.0,3.0,0.0
nytimes,5281959998_1918601078357405,1918601078357405_1918771901673656,0.0,0.0,0,0.0,3.0,0.0
nytimes,5281959998_1918601078357405,1918601078357405_1918785588338954,0.0,0.0,0,0.0,3.0,0.0
nytimes,5281959998_1918601078357405,1918601078357405_1918822368335276,0.0,0.0,0,0.0,3.0,0.0
nytimes,5281959998_1918601078357405,1918601078357405_280809439069605,0.0,0.0,0,0.0,3.0,0.0
nytimes,5281959998_1918601078357405,1918601078357405_697313903808205,0.0,0.0,0,0.0,1.0,2.0
nytimes,5281959998_1918679185016261,1918679185016261_1385210978223480,0.0,0.0,0,0.0,3.0,0.0
nytimes,5281959998_1918679185016261,1918679185016261_1453233498092129,0.0,0.0,0,0.0,2.0,1.0
nytimes,5281959998_1918679185016261,1918679185016261_1918863471664499,0.0,0.0,0,0.0,2.0,1.0
nytimes,5281959998_1918679185016261,1918679185016261_327777794352973,0.0,0.0,0,0.0,3.0,0.0
nytimes,5281959998_1918679185016261,1918679185016261_498851900491884,0.0,0.0,0,0.0,3.0,0.0
nytimes,5281959998_1918702555013924,1918702555013924_1918829571667889,3.0,0.0,0,0.0,0.0,0.0
nytimes,5281959998_1918731105011069,1918731105011069_1918863381664508,0.0,0.0,0,0.0,3.0,0.0
nytimes,5281959998_1918960548321458,1918960548321458_1919352768282236,0.0,0.0,0,0.0,3.0,0.0
nytimes,5281959998_1919194918298021,1919194918298021_1919712624912917,0.0,0.0,0,0.0,3.0,0.0
nytimes,5281959998_1919439628273550,1919439628273550_1919476458269867,0.0,1.0,0,0.0,2.0,0.0
