pagename,post_id,comment_id,comment
nytimes,5281959998_184073478804176,184073478804176_1954426711505324,Cara Elizabeth this will be us 
nytimes,5281959998_10151317043214999,10151317043214999_10151317253344999,And the problem is?
nytimes,5281959998_10151311025844999,10151311025844999_547022045643254,Awesome !!!
nytimes,5281959998_10151317140969999,10151317140969999_10151317305149999,Oh good. Now perhaps the orange time bomb will be able to articulate himself a little better. Hopefully. Sadly I don't see it happening.
nytimes,5281959998_10151308886239999,10151308886239999_10151309127389999,Policemen are disgusted calling  off sick.. working 12 hours no off days ..They feel betrayed cleaning up the mess with stockley s not guilty verdict
nytimes,5281959998_10151309605854999,10151309605854999_693981317473397,Love ?? This!!!
nytimes,5281959998_1917706088446904,1917706088446904_1917783581772488,God is good in spite of the fact that it engulfed my home island He surely spared those already affected by Irma and He kept Jose at bay
nytimes,5281959998_10151315045359999,10151315045359999_356848601431481,"Las Vegas,circa 1980? Show started at 2am or something Vegas like that..."
nytimes,5281959998_1918601078357405,1918601078357405_1918676938349819,Juan David Aponte cuáles has hecho?
nytimes,5281959998_184073478804176,184073478804176_1499554056776364,Kelly Hamamoto I hope I have this guys realization of life and happiness
nytimes,5281959998_10151309605854999,10151309605854999_10151309618664999,51 down erle
nytimes,5281959998_10151316451979999,10151316451979999_10151316621874999,I'm so very tired of being overworked and underpaid while men stand around smiling at me breaking my back for much less than they are paid to smile at me with their hands in their pockets.
nytimes,5281959998_10151308484864999,10151308484864999_10151308510579999,Where is iPhone 9?
nytimes,5281959998_1918680988349414,1918680988349414_1919775128240000,orange man-boy is more concerned about athletes' peaceful protests today
nytimes,5281959998_10151311025844999,10151311025844999_509070392777739,Harish Pathak
nytimes,5281959998_10151308484864999,10151308484864999_10151308542909999,Who the fck cares.
nytimes,5281959998_119890108721277,119890108721277_120107202032901,Pedro Afonso Paro Junior
nytimes,5281959998_10151317275514999,10151317275514999_10151317285869999,Insight in how to get to work. Is this what Lifeis about? Just asking.
nytimes,5281959998_1918601078357405,1918601078357405_177376979498316,Christiana Papandreou 
nytimes,5281959998_10151315045359999,10151315045359999_1595492933804327,Julio Arellano Pinto
nytimes,5281959998_1919194918298021,1919194918298021_1919232761627570,Gillian Hernandez-Vidal
nytimes,5281959998_10151316323564999,10151316323564999_10151316542574999,They'll be back once they get another hip bone from a long-dead wizard and more of Cedric Diggory's blood.
nytimes,5281959998_10151317184634999,10151317184634999_10151317206144999,Drumpf shouldn't be allowed to run a chook raffle much less the U.S.
nytimes,5281959998_10151317043214999,10151317043214999_10151317236004999,And are they democrats???
nytimes,5281959998_1919520494932130,1919520494932130_1919560894928090,great piece...thank you for just sticking to the art of it.  I can't begrudge an artist an opportunity.
